timestamp,steps,distance millimeters,altitude gain millimeters
2025-07-05T02:46:20Z,2,1150,0
2025-07-05T02:46:21Z,1,1150,0
2025-07-05T02:46:22Z,0,1150,0
2025-07-05T02:46:23Z,0,1050,0
2025-07-05T02:46:24Z,3,890,0
2025-07-05T02:46:25Z,0,0,0
2025-07-05T02:46:26Z,2,510,0
2025-07-05T02:46:27Z,1,550,0
2025-07-05T02:46:28Z,2,660,0
2025-07-05T02:46:29Z,2,820,0
2025-07-05T02:46:30Z,1,960,0
2025-07-05T02:46:31Z,1,960,0
2025-07-05T02:46:32Z,2,1000,0
2025-07-05T02:46:33Z,2,1030,0
2025-07-05T02:46:34Z,1,1020,0
2025-07-05T02:46:35Z,2,1040,0
2025-07-05T02:46:36Z,1,1100,0
2025-07-05T02:46:37Z,2,1110,0
2025-07-05T02:46:38Z,2,1100,0
2025-07-05T02:46:39Z,1,1100,0
2025-07-05T02:46:40Z,2,1100,0
2025-07-05T02:46:41Z,2,1160,0
2025-07-05T02:46:42Z,2,1200,0
2025-07-05T02:46:43Z,2,1230,0
2025-07-05T02:46:44Z,1,1240,0
2025-07-05T02:46:45Z,2,1230,0
2025-07-05T02:46:46Z,2,1240,0
2025-07-05T02:46:47Z,1,1230,0
2025-07-05T02:46:48Z,2,1240,0
2025-07-05T02:46:49Z,1,1230,0
2025-07-05T02:46:50Z,1,1230,0
2025-07-05T02:46:51Z,2,1220,0
2025-07-05T02:46:52Z,2,1220,0
2025-07-05T02:46:53Z,1,1220,0
2025-07-05T02:46:54Z,2,1220,0
2025-07-05T02:46:55Z,2,1220,0
2025-07-05T02:46:56Z,1,1220,0
2025-07-05T02:46:57Z,2,1220,0
2025-07-05T02:46:58Z,2,1210,0
2025-07-05T02:46:59Z,0,1220,0
2025-07-05T02:47:00Z,2,1210,0
2025-07-05T02:47:01Z,2,1210,0
2025-07-05T02:47:02Z,2,1210,0
2025-07-05T02:47:03Z,1,1200,0
2025-07-05T02:47:04Z,2,1200,0
2025-07-05T02:47:05Z,1,1210,0
2025-07-05T02:47:06Z,1,1200,0
2025-07-05T02:47:07Z,1,1130,0
2025-07-05T02:47:08Z,2,1110,0
2025-07-05T02:47:09Z,2,1120,0
2025-07-05T02:47:10Z,2,1120,0
2025-07-05T02:47:11Z,1,1110,0
2025-07-05T02:47:12Z,2,1180,0
2025-07-05T02:47:13Z,1,1170,0
2025-07-05T02:47:14Z,2,1170,0
2025-07-05T02:47:15Z,1,1160,0
2025-07-05T02:47:16Z,2,1170,0
2025-07-05T02:47:17Z,2,1160,0
2025-07-05T02:47:18Z,2,1170,0
2025-07-05T02:47:19Z,1,1180,0
2025-07-05T02:47:20Z,2,1170,0
2025-07-05T02:47:21Z,2,1180,0
2025-07-05T02:47:22Z,2,1180,0
2025-07-05T02:47:23Z,1,1180,0
2025-07-05T02:47:24Z,1,1180,0
2025-07-05T02:47:25Z,0,1110,0
2025-07-05T02:47:26Z,2,970,0
2025-07-05T02:47:27Z,1,0,0
2025-07-05T02:47:28Z,2,0,0
2025-07-05T02:47:29Z,2,420,0
2025-07-05T02:47:30Z,2,520,0
2025-07-05T02:47:31Z,1,630,0
2025-07-05T02:47:32Z,1,760,0
2025-07-05T02:47:33Z,0,840,0
2025-07-05T02:47:34Z,1,780,0
2025-07-05T02:47:35Z,2,0,0
2025-07-05T02:47:36Z,2,570,0
