timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds
2023-04-16T02:50:00Z,48.178,0.0
2023-04-16T02:55:00Z,52.177,0.0
2023-04-16T03:00:00Z,54.213,0.0
2023-04-16T03:05:00Z,60.912,0.0
2023-04-16T03:10:00Z,59.876,0.0
2023-04-16T03:15:00Z,61.164,0.0
2023-04-16T03:20:00Z,51.226,0.0
2023-04-16T03:25:00Z,64.256,0.0
2023-04-16T03:30:00Z,50.719,0.0
2023-04-16T03:35:00Z,53.374,0.0
2023-04-16T03:40:00Z,61.682,0.0
2023-04-16T03:45:00Z,47.978,0.0
2023-04-16T03:50:00Z,72.105,0.0
2023-04-16T03:55:00Z,53.105,0.0
2023-04-16T04:00:00Z,54.276,0.0
2023-04-16T04:05:00Z,42.459,0.0
2023-04-16T04:10:00Z,47.954,0.0
2023-04-16T04:15:00Z,45.848,0.0
2023-04-16T04:20:00Z,47.981,0.0
2023-04-16T04:25:00Z,47.791,0.0
2023-04-16T04:30:00Z,45.573,0.0
2023-04-16T04:35:00Z,53.674,0.0
2023-04-16T04:40:00Z,50.045,0.0
2023-04-16T04:45:00Z,47.907,0.0
2023-04-16T04:50:00Z,52.88,0.0
2023-04-16T04:55:00Z,51.097,0.0
2023-04-16T05:00:00Z,47.784,0.0
2023-04-16T05:05:00Z,48.934,0.0
2023-04-16T05:10:00Z,52.574,0.0
2023-04-16T05:15:00Z,55.267,0.0
2023-04-16T05:20:00Z,102.584,0.0
2023-04-16T05:25:00Z,103.822,0.0
2023-04-16T05:30:00Z,86.285,0.0
2023-04-16T05:35:00Z,59.565,0.0
2023-04-16T05:40:00Z,46.625,0.0
2023-04-16T05:45:00Z,48.254,0.0
2023-04-16T05:50:00Z,56.567,0.0
2023-04-16T05:55:00Z,52.923,0.0
2023-04-16T06:25:00Z,58.561,0.0
2023-04-16T06:30:00Z,63.075,0.0
2023-04-16T06:35:00Z,71.461,0.0
2023-04-16T06:40:00Z,65.033,0.0
2023-04-16T06:45:00Z,63.433,0.0
2023-04-16T06:50:00Z,82.718,0.0
2023-04-16T06:55:00Z,48.074,0.0
2023-04-16T07:00:00Z,61.482,0.0
2023-04-16T07:05:00Z,70.301,0.0
2023-04-16T07:10:00Z,62.065,0.0
2023-04-16T07:15:00Z,73.445,0.0
2023-04-16T07:20:00Z,95.129,0.0
2023-04-16T07:25:00Z,92.413,0.0
2023-04-16T07:30:00Z,84.205,0.0
2023-04-16T07:35:00Z,77.867,0.0
2023-04-16T07:40:00Z,77.245,0.0
2023-04-16T07:45:00Z,64.649,0.0
2023-04-16T07:50:00Z,77.281,0.0
2023-04-16T07:55:00Z,90.72,0.0
2023-04-16T08:00:00Z,83.637,0.0
2023-04-16T08:05:00Z,79.529,0.0
2023-04-16T08:10:00Z,72.194,0.0
2023-04-16T08:15:00Z,81.268,0.0
2023-04-16T08:20:00Z,80.115,0.0
2023-04-16T08:25:00Z,76.322,0.0
2023-04-16T08:30:00Z,63.246,0.0
2023-04-16T08:35:00Z,59.938,0.0
2023-04-17T00:05:00Z,51.244,0.0
2023-04-17T00:10:00Z,50.832,0.0
2023-04-17T00:15:00Z,45.588,0.0
2023-04-17T00:20:00Z,47.172,0.0
2023-04-17T00:25:00Z,56.395,0.0
2023-04-17T00:30:00Z,68.283,0.0
2023-04-17T00:35:00Z,54.119,0.0
2023-04-17T00:40:00Z,51.918,0.0
2023-04-17T00:45:00Z,63.145,0.0
2023-04-17T00:50:00Z,56.681,0.0
2023-04-17T00:55:00Z,48.392,0.0
2023-04-17T01:00:00Z,53.121,0.0
2023-04-17T01:05:00Z,45.267,0.0
2023-04-17T01:10:00Z,29.146,0.0
2023-04-17T01:15:00Z,18.145,0.0
2023-04-17T01:20:00Z,38.704,0.0
2023-04-17T01:25:00Z,43.02,0.0
2023-04-17T01:30:00Z,39.582,0.0
2023-04-17T01:35:00Z,45.849,0.0
2023-04-17T01:40:00Z,39.086,0.0
2023-04-17T02:10:00Z,55.471,0.0
2023-04-17T02:15:00Z,49.022,0.0
2023-04-17T02:20:00Z,35.793,0.0
2023-04-17T02:25:00Z,48.004,0.0
2023-04-17T02:30:00Z,53.935,0.0
2023-04-17T02:35:00Z,58.179,0.0
2023-04-17T02:40:00Z,64.344,0.0
2023-04-17T02:45:00Z,57.771,0.0
2023-04-17T02:50:00Z,56.345,0.0
2023-04-17T02:55:00Z,72.645,0.0
2023-04-17T03:00:00Z,60.458,0.0
2023-04-17T03:05:00Z,66.253,0.0
2023-04-17T03:10:00Z,71.334,0.0
2023-04-17T03:15:00Z,75.291,0.0
2023-04-17T03:20:00Z,51.114,0.0
2023-04-17T03:25:00Z,38.238,0.0
2023-04-17T03:30:00Z,57.104,0.0
2023-04-17T03:35:00Z,45.774,0.0
2023-04-17T03:40:00Z,54.785,0.0
2023-04-17T03:45:00Z,56.726,0.0
2023-04-17T03:50:00Z,41.718,0.0
2023-04-17T03:55:00Z,58.796,0.0
2023-04-17T04:00:00Z,48.964,0.0
2023-04-17T04:05:00Z,54.386,0.0
2023-04-17T04:10:00Z,53.314,0.0
2023-04-17T04:15:00Z,64.217,0.0
2023-04-17T04:20:00Z,59.364,0.0
2023-04-17T04:25:00Z,57.802,0.0
2023-04-17T04:30:00Z,67.457,0.0
2023-04-17T04:35:00Z,62.366,0.0
2023-04-17T04:40:00Z,70.366,0.0
2023-04-17T04:45:00Z,58.317,0.0
2023-04-17T04:50:00Z,44.32,0.0
2023-04-17T04:55:00Z,41.72,0.0
2023-04-17T05:00:00Z,48.469,0.0
2023-04-17T05:05:00Z,43.172,0.0
2023-04-17T05:10:00Z,43.563,0.0
2023-04-17T05:15:00Z,46.048,0.0
2023-04-17T05:20:00Z,47.892,0.0
2023-04-17T05:25:00Z,43.948,0.0
2023-04-17T05:30:00Z,49.173,0.0
2023-04-17T05:35:00Z,28.849,0.0
2023-04-17T05:40:00Z,35.505,0.0
2023-04-17T05:45:00Z,26.672,0.0
2023-04-17T05:50:00Z,37.647,0.0
2023-04-17T05:55:00Z,36.706,0.0
2023-04-17T06:00:00Z,60.121,0.0
2023-04-17T06:05:00Z,57.117,0.0
2023-04-17T06:10:00Z,51.866,0.0
2023-04-17T06:15:00Z,59.172,0.0
2023-04-17T06:20:00Z,40.037,0.0
2023-04-17T06:25:00Z,40.498,0.0
2023-04-17T06:30:00Z,47.352,0.0
2023-04-17T06:35:00Z,52.887,0.0
2023-04-17T06:40:00Z,47.161,0.0
2023-04-17T06:45:00Z,48.578,0.0
2023-04-17T06:50:00Z,51.461,0.0
2023-04-17T06:55:00Z,55.962,0.0
2023-04-17T07:05:00Z,72.028,0.0
2023-04-18T00:30:00Z,40.766,0.0
2023-04-18T00:35:00Z,46.974,0.0
2023-04-18T00:40:00Z,47.602,0.0
2023-04-18T00:45:00Z,44.992,0.0
2023-04-18T00:50:00Z,48.394,0.0
2023-04-18T00:55:00Z,43.842,0.0
2023-04-18T01:00:00Z,44.482,0.0
2023-04-18T01:05:00Z,46.893,0.0
2023-04-18T01:10:00Z,45.431,0.0
2023-04-18T01:15:00Z,37.839,0.0
2023-04-18T01:20:00Z,42.67,0.0
2023-04-18T01:25:00Z,45.544,0.0
2023-04-18T01:30:00Z,54.127,0.0
2023-04-18T01:35:00Z,38.476,0.0
2023-04-18T01:40:00Z,38.927,0.0
2023-04-18T01:45:00Z,33.085,0.0
2023-04-18T01:50:00Z,36.989,0.0
2023-04-18T01:55:00Z,32.292,0.0
2023-04-18T02:00:00Z,49.723,0.0
2023-04-18T02:05:00Z,42.707,0.0
2023-04-18T02:10:00Z,32.368,0.0
2023-04-18T02:15:00Z,36.358,0.0
2023-04-18T02:20:00Z,41.696,0.0
2023-04-18T02:25:00Z,45.508,0.0
2023-04-18T02:30:00Z,51.292,0.0
2023-04-18T02:35:00Z,45.35,0.0
2023-04-18T02:40:00Z,45.23,0.0
2023-04-18T02:45:00Z,43.37,0.0
2023-04-18T02:50:00Z,49.172,0.0
2023-04-18T02:55:00Z,56.333,0.0
2023-04-18T03:00:00Z,30.299,0.0
2023-04-18T03:05:00Z,61.548,0.0
2023-04-18T03:10:00Z,62.163,0.0
2023-04-18T03:15:00Z,58.977,0.0
2023-04-18T03:20:00Z,68.511,0.0
2023-04-18T03:25:00Z,56.215,0.0
2023-04-18T03:30:00Z,52.288,0.0
2023-04-18T03:35:00Z,35.988,0.0
2023-04-18T03:40:00Z,26.771,0.0
2023-04-18T03:45:00Z,28.841,0.0
2023-04-18T03:50:00Z,33.181,0.0
2023-04-18T03:55:00Z,33.687,0.0
2023-04-18T04:00:00Z,35.276,0.0
2023-04-18T04:05:00Z,41.452,0.0
2023-04-18T04:10:00Z,48.896,0.0
2023-04-18T04:15:00Z,38.461,0.0
2023-04-18T04:20:00Z,34.148,0.0
2023-04-18T04:25:00Z,52.839,0.0
2023-04-18T04:30:00Z,41.807,0.0
2023-04-18T04:35:00Z,41.693,0.0
2023-04-18T04:40:00Z,43.243,0.0
2023-04-18T04:45:00Z,59.396,0.0
2023-04-18T04:50:00Z,52.776,0.0
2023-04-18T04:55:00Z,53.021,0.0
2023-04-18T05:00:00Z,51.124,0.0
2023-04-18T05:05:00Z,45.664,0.0
2023-04-18T05:10:00Z,54.78,0.0
2023-04-18T05:15:00Z,56.153,0.0
2023-04-18T05:20:00Z,55.545,0.0
2023-04-18T05:25:00Z,58.085,0.0
2023-04-18T05:30:00Z,52.459,0.0
2023-04-18T05:35:00Z,35.849,0.0
2023-04-18T05:40:00Z,41.874,0.0
2023-04-18T05:45:00Z,44.432,0.0
2023-04-18T05:50:00Z,52.01,0.0
2023-04-18T05:55:00Z,38.368,0.0
2023-04-18T06:00:00Z,45.899,0.0
2023-04-18T06:05:00Z,45.866,0.0
2023-04-18T06:10:00Z,48.876,0.0
2023-04-18T06:20:00Z,60.746,0.0
