timestamp,oxygen saturation percentage
2025-07-04T15:34:04Z,96.4
2025-07-04T15:35:04Z,96.4
2025-07-04T15:36:04Z,96.3
2025-07-04T15:38:04Z,96.3
2025-07-04T15:39:04Z,96.4
2025-07-04T15:40:04Z,96.6
2025-07-04T15:41:04Z,96.8
2025-07-04T15:42:04Z,96.6
2025-07-04T15:43:04Z,96.5
2025-07-04T15:44:04Z,96.5
2025-07-04T15:45:04Z,96.6
2025-07-04T15:46:04Z,96.4
2025-07-04T15:47:04Z,96.4
2025-07-04T15:48:04Z,96.4
2025-07-04T15:49:04Z,96.3
2025-07-04T15:50:04Z,96.3
2025-07-04T15:51:04Z,96.4
2025-07-04T15:52:04Z,96.4
2025-07-04T15:53:04Z,96.4
2025-07-04T15:54:04Z,96.4
2025-07-04T15:55:04Z,96.4
2025-07-04T15:56:04Z,96.4
2025-07-04T15:57:04Z,96.4
2025-07-04T15:58:04Z,96.4
2025-07-04T15:59:04Z,96.4
2025-07-04T16:00:04Z,96.4
2025-07-04T16:01:04Z,96.3
2025-07-04T16:02:04Z,96.4
2025-07-04T16:03:04Z,96.4
2025-07-04T16:04:04Z,96.4
2025-07-04T16:05:04Z,96.5
2025-07-04T16:07:04Z,95.2
2025-07-04T16:08:04Z,94.7
2025-07-04T16:09:04Z,94.0
2025-07-04T16:11:04Z,93.2
2025-07-04T16:12:04Z,92.7
2025-07-04T16:13:04Z,92.8
2025-07-04T16:17:04Z,94.0
2025-07-04T16:18:04Z,95.1
2025-07-04T16:20:04Z,95.7
2025-07-04T16:21:04Z,96.2
2025-07-04T16:22:04Z,96.7
2025-07-04T16:23:04Z,96.9
2025-07-04T16:24:04Z,96.7
2025-07-04T16:25:04Z,96.9
2025-07-04T16:26:04Z,97.1
2025-07-04T16:28:04Z,97.4
2025-07-04T16:29:04Z,98.0
2025-07-04T16:30:04Z,98.4
2025-07-04T16:33:04Z,98.3
2025-07-04T16:34:04Z,97.7
2025-07-04T16:35:04Z,97.9
2025-07-04T16:39:04Z,96.7
2025-07-04T16:40:04Z,94.8
2025-07-04T16:41:04Z,93.7
2025-07-04T16:47:04Z,95.4
2025-07-04T16:48:04Z,95.7
2025-07-04T16:49:04Z,96.1
2025-07-04T16:50:04Z,96.8
2025-07-04T16:52:04Z,96.6
2025-07-04T16:53:04Z,97.1
2025-07-04T16:54:04Z,96.9
2025-07-04T16:55:04Z,96.7
2025-07-04T16:56:04Z,97.3
2025-07-04T16:57:04Z,97.6
2025-07-04T16:58:04Z,97.1
2025-07-04T16:59:04Z,97.2
2025-07-04T17:00:04Z,97.4
2025-07-04T17:01:04Z,96.9
2025-07-04T17:02:04Z,96.9
2025-07-04T17:03:04Z,97.2
2025-07-04T17:04:04Z,97.3
2025-07-04T17:06:04Z,96.4
2025-07-04T21:31:04Z,96.9
2025-07-04T21:32:04Z,97.1
2025-07-04T21:33:04Z,96.0
2025-07-04T21:45:04Z,94.6
2025-07-04T21:46:04Z,95.5
2025-07-04T21:47:04Z,95.8
2025-07-04T21:48:04Z,95.5
2025-07-04T21:49:04Z,95.8
2025-07-04T21:50:04Z,95.0
2025-07-04T21:51:04Z,95.1
2025-07-04T21:53:04Z,95.0
2025-07-04T21:54:04Z,94.7
2025-07-04T21:56:04Z,94.9
2025-07-04T22:00:04Z,95.2
2025-07-04T22:01:04Z,95.4
2025-07-04T22:02:04Z,95.4
2025-07-04T22:03:04Z,96.2
2025-07-04T22:04:04Z,96.7
2025-07-04T22:05:04Z,96.9
2025-07-04T22:06:04Z,97.2
2025-07-04T22:07:04Z,97.4
2025-07-04T22:08:04Z,97.5
2025-07-04T22:09:04Z,97.6
2025-07-04T22:10:04Z,97.6
2025-07-04T22:11:04Z,97.5
2025-07-04T22:12:04Z,97.3
2025-07-04T22:13:04Z,97.5
2025-07-04T22:14:04Z,97.1
2025-07-04T22:16:04Z,97.0
2025-07-04T22:17:04Z,96.6
2025-07-04T22:18:04Z,95.5
2025-07-04T22:19:04Z,93.9
2025-07-04T22:20:04Z,92.8
2025-07-04T22:21:04Z,92.9
2025-07-04T22:22:04Z,93.0
2025-07-04T22:23:04Z,93.6
2025-07-04T22:24:04Z,93.8
2025-07-04T22:27:04Z,95.0
2025-07-04T22:28:04Z,95.8
2025-07-04T22:31:04Z,96.4
2025-07-04T22:35:04Z,96.7
2025-07-04T22:36:04Z,96.9
2025-07-04T22:37:04Z,96.7
2025-07-04T22:38:04Z,96.7
2025-07-04T22:39:04Z,96.8
2025-07-04T22:40:04Z,96.8
2025-07-04T22:41:04Z,96.6
2025-07-04T22:43:04Z,96.9
2025-07-04T22:44:04Z,97.0
2025-07-04T22:46:04Z,97.0
2025-07-04T22:49:04Z,95.3
2025-07-04T22:51:04Z,94.8
2025-07-04T22:52:04Z,94.9
2025-07-04T22:53:04Z,95.0
2025-07-04T22:54:04Z,95.3
2025-07-04T22:55:04Z,95.4
2025-07-04T22:58:04Z,95.5
2025-07-04T22:59:04Z,95.6
2025-07-04T23:00:04Z,95.7
2025-07-04T23:02:04Z,96.4
2025-07-04T23:03:04Z,95.9
2025-07-04T23:40:03Z,98.4
2025-07-04T23:41:03Z,97.7
2025-07-04T23:42:03Z,97.1
2025-07-04T23:43:03Z,96.6
2025-07-04T23:44:03Z,96.3
2025-07-04T23:45:03Z,96.1
2025-07-04T23:46:03Z,95.9
2025-07-04T23:47:03Z,95.7
2025-07-04T23:48:03Z,95.5
2025-07-04T23:49:03Z,95.4
2025-07-04T23:50:03Z,95.3
2025-07-04T23:51:03Z,95.3
2025-07-04T23:52:03Z,95.3
2025-07-04T23:55:03Z,95.0
2025-07-04T23:56:03Z,94.7
2025-07-04T23:57:03Z,94.7
2025-07-04T23:58:03Z,94.6
2025-07-04T23:59:03Z,94.6
2025-07-05T00:00:03Z,94.7
2025-07-05T00:01:03Z,94.7
2025-07-05T00:02:03Z,94.9
2025-07-05T00:03:03Z,95.0
2025-07-05T00:04:03Z,95.1
2025-07-06T15:41:33Z,50.0
2025-07-06T15:42:33Z,95.5
2025-07-06T15:43:33Z,94.9
2025-07-06T15:44:33Z,50.0
2025-07-06T15:45:33Z,94.9
2025-07-06T15:46:33Z,50.0
2025-07-06T15:47:33Z,94.7
2025-07-06T15:48:33Z,50.0
2025-07-06T15:49:33Z,50.0
2025-07-06T15:50:33Z,93.7
2025-07-06T15:51:33Z,50.0
2025-07-06T15:52:33Z,50.0
2025-07-06T15:53:33Z,93.4
2025-07-06T15:54:33Z,93.3
2025-07-06T15:55:33Z,91.8
2025-07-07T10:23:33Z,94.6
2025-07-07T10:24:33Z,94.8
2025-07-07T10:25:33Z,94.9
2025-07-07T10:26:33Z,50.0
2025-07-07T10:27:33Z,93.9
2025-07-07T10:28:33Z,93.1
2025-07-07T10:29:33Z,50.0
2025-07-07T10:30:33Z,93.0
2025-07-07T10:31:33Z,92.5
2025-07-07T10:32:33Z,92.2
2025-07-07T10:33:33Z,92.1
2025-07-07T10:34:33Z,92.0
2025-07-07T10:35:33Z,91.4
2025-07-07T10:36:33Z,92.3
2025-07-07T10:37:33Z,91.9
