sleep_id,sleep_stage_id,sleep_stage_type,start_utc_offset,sleep_stage_start,end_utc_offset,sleep_stage_end,data_source,sleep_stage_created,sleep_stage_last_updated
1290633720992118224,4238606536278062528,LIGHT,-07:00,2025-07-04 09:33:30+0000,-07:00,2025-07-04 09:36:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,4385303751196030616,REM,-07:00,2025-07-04 07:07:30+0000,-07:00,2025-07-04 07:09:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,4428805766422606456,LIGHT,-07:00,2025-07-04 06:06:00+0000,-07:00,2025-07-04 06:06:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,4527625989839998056,LIGHT,-07:00,2025-07-04 04:12:00+0000,-07:00,2025-07-04 04:20:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,4536671188997177144,REM,-07:00,2025-07-04 04:47:30+0000,-07:00,2025-07-04 05:18:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,470339202507787720,AWAKE,-07:00,2025-07-04 09:38:00+0000,-07:00,2025-07-04 09:40:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,4780478673113667432,REM,-07:00,2025-07-04 06:38:00+0000,-07:00,2025-07-04 06:39:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,4788568856169679296,LIGHT,-07:00,2025-07-04 08:33:00+0000,-07:00,2025-07-04 08:50:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,4788855439012426248,LIGHT,-07:00,2025-07-04 04:21:00+0000,-07:00,2025-07-04 04:34:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,4899153491342437824,LIGHT,-07:00,2025-07-04 06:13:30+0000,-07:00,2025-07-04 06:14:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,490283653268026440,LIGHT,-07:00,2025-07-04 08:28:00+0000,-07:00,2025-07-04 08:28:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,5011252179661705480,LIGHT,-07:00,2025-07-04 03:32:30+0000,-07:00,2025-07-04 03:56:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,5035214306698996216,REM,-07:00,2025-07-04 07:09:30+0000,-07:00,2025-07-04 07:10:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,5042923685306048536,LIGHT,-07:00,2025-07-04 08:30:30+0000,-07:00,2025-07-04 08:32:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,512170859672625248,AWAKE,-07:00,2025-07-04 04:11:00+0000,-07:00,2025-07-04 04:12:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
