exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
3019117467770847600,2023-05-04 23:16:02+0000,2023-05-05 00:49:02+0000,-07:00,2023-05-05 01:08:36+0000,2023-05-05 01:08:36+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3033881630122761488,2023-04-26 23:29:58+0000,2023-04-27 00:55:19+0000,-07:00,2023-04-27 01:12:38+0000,2023-04-27 01:12:38+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
303843233918199840,2023-05-01 17:44:47+0000,2023-05-01 18:23:11+0000,-07:00,2023-05-01 18:39:23+0000,2023-05-01 18:39:23+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3104988156753146672,2023-07-16 17:10:41+0000,2023-07-16 17:47:23+0000,-07:00,2023-07-16 18:02:44+0000,2023-07-16 18:02:44+0000,Swim,AUTO_DETECTED,25,METER,,,,,,,,,,,,,,,,,,,,,,,
3113233535327403704,2023-06-01 20:15:21+0000,2023-06-01 20:34:59+0000,-07:00,2023-06-03 17:36:00+0000,2023-06-03 17:36:00+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3149678732246134960,2023-04-19 21:35:33+0000,2023-04-20 00:20:14+0000,-07:00,2023-04-20 00:56:09+0000,2023-04-20 00:56:09+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3319083569460347968,2023-05-13 03:02:59+0000,2023-05-13 03:19:12+0000,-07:00,2023-05-13 03:34:21+0000,2023-05-13 03:34:21+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3416699689675475488,2023-05-05 23:22:37+0000,2023-05-06 00:14:39+0000,-07:00,2023-05-06 00:46:54+0000,2023-05-06 00:46:54+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3441469796702352688,2023-05-08 20:54:07+0000,2023-05-08 23:14:04+0000,-07:00,2023-05-08 23:43:34+0000,2023-05-08 23:43:34+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
3488304579587136960,2023-05-16 18:09:21+0000,2023-05-16 18:41:46+0000,-07:00,2023-05-16 19:06:25+0000,2023-05-16 19:06:25+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
