timestamp,heart_rate,steps,sleep_deep_minutes,sleep_light_minutes,sleep_rem_minutes,sleep_awakenings,hrv_rmssd,hrv_coverage,primary_non_step_activity_N/A,caffeine_user_N/A,reports_high_stress_N/A,hour,hr_rolling_avg,hr_rolling_std
2025-07-07 02:33:53+00:00,166,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.42962962962963,9.681911693505047
2025-07-07 02:33:55+00:00,168,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.40740740740742,9.702512596792271
2025-07-07 02:33:58+00:00,168,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.37777777777777,9.728298977465078
2025-07-07 02:33:59+00:00,169,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.34074074074073,9.754572569533522
2025-07-07 02:34:01+00:00,170,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.2962962962963,9.778955529848789
2025-07-07 02:34:03+00:00,171,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.24444444444444,9.799076004766317
2025-07-07 02:34:05+00:00,172,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.1851851851852,9.812560626435053
2025-07-07 02:34:07+00:00,173,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.11851851851853,9.81702135255487
2025-07-07 02:34:09+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.05185185185186,9.81418294324512
2025-07-07 02:34:11+00:00,176,6,0,0,0,0,0,0,1.0,1.0,1.0,2,178.01481481481483,9.812408520482457
2025-07-07 02:34:14+00:00,176,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.98518518518517,9.812408520482458
2025-07-07 02:34:17+00:00,176,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.955223880597,9.8499003251601
2025-07-07 02:34:18+00:00,176,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.94074074074075,9.81452089216047
2025-07-07 02:34:21+00:00,176,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.9179104477612,9.85232960311339
2025-07-07 02:34:22+00:00,175,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.8962962962963,9.818710492339228
2025-07-07 02:34:25+00:00,175,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.85925925925926,9.820146032715016
2025-07-07 02:34:26+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.8308823529412,9.789302662754784
2025-07-07 02:34:29+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.78676470588235,9.792974116572276
2025-07-07 02:34:32+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.74814814814815,9.83423696553169
2025-07-07 02:34:34+00:00,175,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.74074074074073,9.83594000922345
2025-07-07 02:34:35+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.71323529411765,9.804691309647858
2025-07-07 02:34:38+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.6985294117647,9.808779025415102
2025-07-07 02:34:41+00:00,174,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.69117647058823,9.811191422253842
2025-07-07 02:34:43+00:00,172,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.6764705882353,9.818261408239973
2025-07-07 02:34:45+00:00,169,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.64705882352942,9.83834479586706
2025-07-07 02:34:47+00:00,166,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.57037037037037,9.924747254750683
2025-07-07 02:34:49+00:00,163,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.46323529411765,9.966542614040462
2025-07-07 02:34:51+00:00,160,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.3308823529412,10.078253190099915
2025-07-07 02:34:54+00:00,160,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.1985294117647,10.187006868181971
2025-07-07 02:34:55+00:00,161,6,0,0,0,0,0,0,1.0,1.0,1.0,2,177.08029197080293,10.243404186393134
